label,predict,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2,6,0.26803347,0.5449046,0.50442874,0.5466968,0.62761545,0.4826558,0.63593924,0.5788296,0.26139176,0.48677516
5,5,0.23759067,0.53682774,0.47855097,0.5695008,0.58040494,0.8245292,0.70279706,0.4350974,0.49908328,0.2906523
3,6,0.19377829,0.48253787,0.54274195,0.64339733,0.6732685,0.6866365,0.72867393,0.59083307,0.1608277,0.28028545
4,5,0.44828498,0.45567492,0.5209946,0.5862147,0.57200074,0.5931373,0.5658524,0.5475244,0.37186393,0.43319935
7,7,0.32150793,0.5127708,0.47409755,0.45261252,0.48384178,0.41286656,0.5195954,0.53185225,0.38280818,0.5050337
1,9,0.54955375,0.56046134,0.37567434,0.5329234,0.38117838,0.30180925,0.43866512,0.6433334,0.52776223,0.6659011
4,6,0.27165872,0.55625975,0.5105548,0.53109246,0.5654026,0.47127116,0.61169493,0.5995989,0.38074598,0.55837864
8,8,0.75724554,0.48241547,0.45195964,0.30829304,0.35278544,0.4085904,0.35232863,0.43419454,0.85322547,0.5678865
8,8,0.67664754,0.5312337,0.3801437,0.2747992,0.3828165,0.43624395,0.3402769,0.5488107,0.83153075,0.65472615
4,4,0.25828606,0.39241534,0.6158629,0.6781499,0.7063672,0.6225933,0.6936303,0.65862536,0.1831869,0.25313324
2,4,0.33616453,0.3813652,0.5007953,0.5953893,0.6148774,0.43865007,0.5905653,0.5589612,0.3614136,0.4194991
1,4,0.28768218,0.507071,0.62732995,0.65315354,0.73188496,0.4891991,0.67462033,0.68968534,0.11702753,0.34393424
7,4,0.32311872,0.5070094,0.51255685,0.45255274,0.57187915,0.484212,0.48479646,0.5607583,0.31631744,0.51867336
3,3,0.15113519,0.31644678,0.49097717,0.78469133,0.71949995,0.7718063,0.71917576,0.63683915,0.09296251,0.3242784
6,9,0.56926095,0.48549518,0.44904146,0.3263778,0.3117072,0.19505544,0.3413751,0.5937345,0.6644443,0.79440725
1,0,0.86777526,0.6165494,0.35510853,0.3589198,0.21986856,0.28315714,0.19298495,0.36199915,0.7574796,0.79255474
4,4,0.21112917,0.4072657,0.630117,0.704799,0.7563242,0.64737046,0.71561986,0.66460854,0.16815653,0.29670483
3,8,0.5856028,0.46778402,0.54324424,0.455763,0.36909148,0.500103,0.50694627,0.39368674,0.7466729,0.5905563
3,6,0.300142,0.33807212,0.5457731,0.6441529,0.6699637,0.58739597,0.6862781,0.66028917,0.19439293,0.33708975
7,7,0.47977352,0.34075704,0.517343,0.49485308,0.45939746,0.52601343,0.4135401,0.7424944,0.27170852,0.660296
2,7,0.31159487,0.29044482,0.5671933,0.560385,0.5532032,0.4396016,0.4225019,0.7431678,0.177523,0.41218328
4,6,0.15460373,0.46279436,0.49140123,0.57393986,0.54333556,0.6249082,0.74573934,0.5508421,0.25837934,0.42529932
7,5,0.40880084,0.4323283,0.50142306,0.537654,0.57510287,0.734843,0.52135366,0.55787957,0.33363757,0.5103678
5,5,0.5705314,0.43987957,0.5092941,0.4472659,0.5417288,0.6385666,0.570699,0.50349194,0.62232995,0.45009896
6,6,0.21056098,0.58514684,0.45011425,0.5508814,0.52225673,0.45185098,0.6364718,0.45048043,0.39063072,0.6204527
5,0,0.72388685,0.48970628,0.5758938,0.3829793,0.43898526,0.36428797,0.3382147,0.44492194,0.60682887,0.54451674
6,6,0.3117419,0.5419191,0.5516,0.5397407,0.62739456,0.5262756,0.662947,0.55015635,0.33074012,0.5284066
1,1,0.4608806,0.6129838,0.43362898,0.40784508,0.40612116,0.34450245,0.52841115,0.5181823,0.39585125,0.6047218
2,9,0.27895787,0.44029188,0.48822376,0.46431375,0.4804983,0.36744946,0.5582782,0.6271666,0.3337148,0.6419172
6,0,0.59162396,0.44382912,0.55098724,0.45902437,0.494109,0.5687537,0.45017472,0.50166816,0.50013435,0.4704662
5,6,0.138721,0.522324,0.5442972,0.6394901,0.69197315,0.66378564,0.7635677,0.644631,0.15162781,0.35421658
6,6,0.20602553,0.6376471,0.5366252,0.60750777,0.6465331,0.60611403,0.74009323,0.5998526,0.26345903,0.43018088
4,3,0.5546152,0.45737076,0.45824644,0.58847,0.46064374,0.45373294,0.3828744,0.5057423,0.5431607,0.46671072
7,4,0.3251669,0.31218538,0.6385645,0.6649788,0.6860592,0.6258526,0.6269155,0.6186154,0.19181292,0.31445524
7,6,0.26025784,0.58752483,0.46374452,0.5552529,0.5828806,0.515095,0.63817847,0.5300545,0.31431988,0.5081398
2,6,0.35021764,0.48640484,0.47468916,0.5434127,0.5138461,0.5303706,0.58144456,0.5325963,0.27719364,0.51580083
7,9,0.44484186,0.4608591,0.5503148,0.4369176,0.4798338,0.4542514,0.5239488,0.5693886,0.38594702,0.5741198
1,9,0.60511273,0.61950237,0.43968022,0.44515148,0.23212887,0.3183365,0.34501028,0.60206884,0.54666984,0.7447115
7,1,0.37727574,0.69316924,0.4041419,0.44146118,0.5295048,0.5460439,0.61382306,0.33338708,0.5218981,0.52312744
4,4,0.23246194,0.44493592,0.6114421,0.5839317,0.7076495,0.521889,0.6431501,0.5762832,0.21201758,0.49572283
1,6,0.285299,0.6443495,0.50403976,0.5034763,0.5633979,0.55452305,0.6484641,0.50880927,0.42084503,0.46631402
2,6,0.27611184,0.5061642,0.51128125,0.60517025,0.5485439,0.5165111,0.6584642,0.546098,0.34578052,0.46431062
2,6,0.16015865,0.53107864,0.5384432,0.57671803,0.66517276,0.52306837,0.69233376,0.5871682,0.22878209,0.4410669
7,4,0.17777686,0.6075745,0.5585185,0.5072872,0.6299168,0.45334828,0.6280596,0.501017,0.32018474,0.56818336
7,6,0.22101937,0.47208044,0.5300137,0.5333576,0.6028953,0.48559028,0.6358042,0.62504995,0.20985028,0.55664974
5,3,0.29263204,0.44544804,0.59741443,0.6219533,0.6196553,0.5060873,0.5753093,0.5764663,0.20331891,0.45968497
8,1,0.5121505,0.6867771,0.38751417,0.44153413,0.35681707,0.41356477,0.5334399,0.3830912,0.68349916,0.6150834
7,7,0.31705937,0.41019592,0.52113175,0.5565736,0.6039329,0.48027176,0.55908734,0.620831,0.38257235,0.58672124
