epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
1,2.283443787097931,1.6696574687957764,0.064247,2.2536447372436523,1.6696748733520508,0.0,2.250415141582489,1.6696748733520508,0.0,0.1732,0.15118,0.161,6.910290117900786e-09,0.301429,1.295949,0.02956986427307129,2022-10-31 11:11:41.324059,0.0
2,2.208595311641693,1.6692970991134644,0.06558699999999998,2.2070966300964354,1.6692472696304321,0.0,2.2030553126335146,1.6692472696304321,0.0,0.2248,0.18538,0.196,9.321370342263435e-09,0.284216,1.266134,0.029107093811035156,2022-10-31 11:11:42.879783,0.0
3,2.1596176505088804,1.669376254081726,0.06363200000000001,2.16977498292923,1.669356107711792,0.0,2.165355434417725,1.669356107711792,0.0,0.2525,0.21028,0.2228,7.322952022548179e-09,0.278071,1.311436,0.029938697814941406,2022-10-31 11:11:44.474082,0.0
4,2.1168239772319795,1.6701732873916626,0.06735499999999998,2.13692413187027,1.6701213121414185,0.0,2.132072932720184,1.6701213121414185,0.0,0.2795,0.23078,0.2404,6.927370677090039e-09,0.292226,1.313611,0.030392885208129883,2022-10-31 11:11:46.084665,0.0
5,2.0878548514842987,1.6709834337234497,0.067731,2.1134285151958467,1.6709989309310913,0.0,2.108326195478439,1.6709989309310913,0.0,0.2959,0.242,0.2544,7.3148416213086875e-09,0.287999,1.305071,0.031028032302856445,2022-10-31 11:11:47.683350,0.0
6,2.0568269073963164,1.672192931175232,0.07198199999999998,2.0934504504203795,1.672170877456665,0.0,2.0877519237995146,1.672170877456665,0.0,0.3151,0.2538,0.2656,7.378848199124377e-09,0.305145,1.332214,0.03366875648498535,2022-10-31 11:11:49.326235,0.0
7,2.047243517637253,1.6731441020965576,0.064684,2.078513577699661,1.673191785812378,0.0,2.072621070146561,1.673191785812378,0.0,0.3179,0.26358,0.2743,6.367513627481003e-09,0.285916,1.386116,0.02954244613647461,2022-10-31 11:11:51.003890,0.0
8,2.026532040834427,1.6742777824401855,0.06740699999999997,2.06606129693985,1.674294352531433,0.0,2.060285040140152,1.674294352531433,0.0,0.3291,0.27068,0.2788,1.0103859970911344e-08,0.293988,1.316677,0.02951192855834961,2022-10-31 11:11:52.620768,0.0
9,2.017462794780731,1.6755677461624146,0.06882000000000003,2.05365242600441,1.6755437850952148,0.0,2.047812659740448,1.6755437850952148,0.0,0.3268,0.27586,0.2856,5.208885767160609e-09,0.286663,1.349794,0.030597448348999023,2022-10-31 11:11:54.262828,0.0
10,2.007864484786987,1.6766488552093506,0.06601700000000002,2.044845772743225,1.6767008304595947,0.0,2.038768730163574,1.6767008304595947,0.0,0.335,0.27976,0.2887,6.509929484366239e-09,0.280021,1.351447,0.028706073760986328,2022-10-31 11:11:55.899052,0.0
