label,predict,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
4,3,0.077043384,0.3245167,0.43127555,0.8617415,0.67764467,0.6853968,0.6774489,0.71011114,0.1601838,0.050081205
2,1,0.42640862,0.8855013,0.18085997,0.36476418,0.30327532,0.14254981,0.16770174,0.42287248,0.8580031,0.6937832
1,6,0.10265598,0.77434856,0.35218605,0.6501647,0.42250693,0.3225403,0.82824945,0.3327616,0.38155743,0.23274362
1,1,0.21486405,0.86535835,0.19576217,0.52171904,0.32445028,0.17631122,0.34624854,0.5465278,0.47562778,0.61576396
1,8,0.6558178,0.7965783,0.23888284,0.42383692,0.32573125,0.22483121,0.18080088,0.2872353,0.93122405,0.44174019
3,1,0.26945838,0.83946335,0.24653976,0.5599087,0.29368138,0.1751068,0.5533534,0.20134526,0.744199,0.3674684
2,6,0.07363679,0.7138315,0.34657258,0.7563286,0.51237136,0.42138278,0.82225513,0.47359022,0.24171057,0.14146695
5,1,0.24519089,0.7662232,0.21945359,0.5699105,0.33539397,0.23493338,0.23367096,0.7163495,0.45008478,0.5966241
7,3,0.063043945,0.43852344,0.41690645,0.7893945,0.61601907,0.5421025,0.71334904,0.725108,0.15806416,0.08985597
6,6,0.056924455,0.3410549,0.422095,0.78626466,0.71632177,0.5544614,0.84128827,0.6440964,0.16645144,0.06617462
8,8,0.76131916,0.73085594,0.31265542,0.42430404,0.30765927,0.24206048,0.1602989,0.22092587,0.95283645,0.29753223
2,8,0.468824,0.49323156,0.5854904,0.5826454,0.49254796,0.3701609,0.34752873,0.37512589,0.60903037,0.11426529
2,3,0.07273842,0.49719593,0.4108845,0.79110557,0.4882475,0.6306009,0.45345896,0.77716964,0.23117132,0.15130185
8,8,0.72610253,0.8626361,0.16831537,0.27259707,0.26729265,0.13190374,0.1392162,0.27710238,0.9681625,0.6038119
2,6,0.0698634,0.59645003,0.3560931,0.67772746,0.5917324,0.35803255,0.8727277,0.44122353,0.22214787,0.18722567
7,7,0.1126739,0.63795304,0.22574985,0.723142,0.42110834,0.291157,0.44925144,0.807502,0.21960084,0.4209763
1,3,0.077409536,0.44501403,0.4865738,0.8540574,0.58676934,0.7735809,0.71905553,0.5930724,0.22860634,0.047146473
1,1,0.49677464,0.7978272,0.14299238,0.41825378,0.37861824,0.15748365,0.15751839,0.63284135,0.7536928,0.74421895
5,3,0.0572806,0.5825088,0.37272233,0.7898525,0.38654965,0.66716695,0.7646188,0.45985723,0.34122753,0.10433623
4,6,0.06688947,0.6504565,0.31673825,0.7347263,0.3843543,0.49782246,0.8498457,0.3545641,0.31898484,0.15971737
1,3,0.06476379,0.3358809,0.41682628,0.80213594,0.6536054,0.6573714,0.69832104,0.7866727,0.13385175,0.09935644
2,3,0.0630272,0.50576705,0.3998512,0.79895586,0.6346137,0.5972241,0.6851013,0.7705885,0.16329026,0.103910446
7,7,0.08130236,0.5725856,0.27656528,0.7528517,0.47796375,0.543723,0.55052525,0.8267113,0.16331476,0.238188
7,8,0.582165,0.8827167,0.1686129,0.3237732,0.31690153,0.13227855,0.15572964,0.33883268,0.92087716,0.62316513
3,7,0.14591198,0.6815228,0.3621559,0.69109946,0.46564916,0.4076193,0.43102568,0.74910444,0.3129524,0.19080904
8,8,0.8449093,0.7589234,0.21353427,0.28814596,0.3377218,0.14942008,0.08421013,0.3928339,0.9325394,0.50391
2,1,0.08843368,0.7977342,0.2943218,0.6699529,0.34966496,0.3349704,0.77333444,0.34188646,0.36100045,0.26998127
