label,predict,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
6,6,0.062666126,0.13831899,0.7905601,0.6723524,0.39220348,0.6943768,0.9974764,0.27863282,0.18327944,0.20059942
0,0,0.9992015,0.060839426,0.85231704,0.45764256,0.33566484,0.09698564,0.7454602,0.096153736,0.6670449,0.1844148
3,3,0.095150284,0.08480249,0.6205874,0.99732757,0.6287343,0.83210856,0.33866647,0.12040977,0.31790334,0.20801415
1,1,0.2507531,0.99969685,0.09876016,0.3188061,0.16276194,0.17289886,0.3818712,0.07191773,0.8189095,0.4915347
3,3,0.14652933,0.14614256,0.8077835,0.99672854,0.8589057,0.8732776,0.45388478,0.15837392,0.052127622,0.08223745
8,8,0.06526724,0.74901915,0.17243306,0.6373887,0.39609516,0.51053566,0.46845895,0.09966736,0.9964561,0.41066423
7,7,0.08978185,0.033772808,0.8447185,0.55639124,0.8979554,0.93072253,0.07700485,0.9991708,0.05473745,0.060544863
3,3,0.029309861,0.04610894,0.43500876,0.9852093,0.590486,0.86098635,0.5328484,0.78946614,0.13172734,0.7700718
0,0,0.9884595,0.031650312,0.9183556,0.39424983,0.2438545,0.079490975,0.71338886,0.1806513,0.9657539,0.1790295
9,9,0.23906894,0.61188614,0.25675312,0.3503144,0.15797512,0.20996039,0.12187764,0.15150411,0.9130846,0.99901104
4,4,0.069522835,0.055469453,0.58628917,0.62196773,0.99812025,0.9421647,0.11101021,0.94208884,0.11897118,0.046098284
3,3,0.16182464,0.1024679,0.4654342,0.99203366,0.05328688,0.85980105,0.95478725,0.19013865,0.40448102,0.40290812
0,0,0.9990274,0.1988905,0.82478285,0.44834623,0.14985888,0.08108217,0.37032062,0.19098905,0.5779005,0.5906748
8,8,0.6732553,0.35024494,0.23998839,0.36441693,0.80145204,0.17658833,0.23117144,0.09348577,0.99810874,0.20410436
5,5,0.1713048,0.12579694,0.44547284,0.92257357,0.3853195,0.99962246,0.38015312,0.282992,0.1238615,0.12983744
4,4,0.26683983,0.060515318,0.65304416,0.8586839,0.9978636,0.7472038,0.2046501,0.26933706,0.18279985,0.08503245
7,7,0.28278965,0.27779737,0.38453487,0.23289904,0.47888896,0.51380765,0.20212099,0.9986324,0.07575689,0.7205184
6,6,0.08572268,0.06883789,0.9683251,0.83701575,0.64832115,0.30621248,0.9981914,0.12960978,0.10221893,0.102190726
1,1,0.22241223,0.9996051,0.14521797,0.10207169,0.07034053,0.19268726,0.30044267,0.10457562,0.4037018,0.99049056
4,4,0.14868373,0.16407356,0.70889163,0.46364504,0.99961394,0.43437687,0.2586064,0.65568423,0.12868531,0.092339136
6,6,0.11594746,0.35040313,0.48666948,0.5376259,0.3637603,0.31388065,0.9997273,0.12949395,0.26863098,0.24454302
8,8,0.4354094,0.75546724,0.47594005,0.3506341,0.1635016,0.12976637,0.3109112,0.083407864,0.9991683,0.36206597
8,8,0.5615369,0.18507384,0.15361053,0.5708106,0.08860803,0.32513335,0.3643954,0.3157108,0.9986014,0.6626201
5,5,0.1720543,0.060259845,0.9837435,0.9417583,0.2917339,0.9961416,0.20106134,0.3317102,0.077161014,0.08081388
3,3,0.047123257,0.04988289,0.74104744,0.99793077,0.80194914,0.8816852,0.6532635,0.331656,0.0672746,0.088368565
4,4,0.13992381,0.05318835,0.90157026,0.77167434,0.9990841,0.7996471,0.4264396,0.34776074,0.06583187,0.0511421
3,3,0.091796294,0.0688222,0.565458,0.9940468,0.089628235,0.887649,0.7957734,0.5830981,0.4657864,0.15131447
8,8,0.5795385,0.16626063,0.5549986,0.3653086,0.43406773,0.14081228,0.36928263,0.12698,0.99939096,0.20503832
2,2,0.3085814,0.025018536,0.99894696,0.91805476,0.20724472,0.84119564,0.7253007,0.24563244,0.10441952,0.07632758
6,6,0.09085864,0.2430069,0.4670118,0.74010116,0.26161075,0.4858745,0.99973196,0.13389942,0.13999934,0.50868034
8,8,0.7636864,0.6012277,0.22025798,0.48273045,0.13654962,0.18414886,0.20751011,0.08022316,0.9995976,0.3651716
5,3,0.095978364,0.07237346,0.3885456,0.9949765,0.9187323,0.9922288,0.12193314,0.33795395,0.08561063,0.06967917
0,0,0.9985903,0.15989698,0.9017094,0.55781054,0.33738047,0.09907409,0.3910862,0.23928897,0.3048083,0.29801857
9,9,0.43992326,0.9286543,0.17833184,0.13823844,0.07504749,0.16298564,0.17709318,0.1483703,0.47428417,0.9998047
2,2,0.26208982,0.04402139,0.999706,0.56961364,0.46144447,0.6088369,0.35354918,0.380372,0.18615493,0.17732687
8,8,0.52316463,0.3280585,0.3184712,0.37899914,0.27384847,0.21973024,0.33600676,0.08449441,0.99970394,0.30625713
7,7,0.086941585,0.04846,0.49901846,0.66513264,0.8847187,0.72536385,0.20605439,0.99950325,0.06571915,0.11075524
5,3,0.28400615,0.13779835,0.9665188,0.9741251,0.38384876,0.72745377,0.81900823,0.119328335,0.12330867,0.08520646
1,1,0.25252593,0.9997564,0.07852637,0.18964721,0.10963154,0.12419101,0.1976309,0.08345968,0.66260266,0.9725221
4,4,0.21850446,0.17109373,0.67674136,0.7344555,0.998485,0.7251026,0.2535593,0.31410345,0.097259425,0.09372456
9,9,0.35401914,0.5092218,0.5653765,0.37151572,0.06801152,0.35931608,0.08571949,0.28520346,0.5290465,0.9993197
8,8,0.50654835,0.54924214,0.17878836,0.5118282,0.13545363,0.21296547,0.29629478,0.10700547,0.99955314,0.4410777
7,7,0.10458085,0.08138611,0.33553937,0.44451222,0.77686566,0.8186206,0.10882927,0.99978834,0.09383164,0.17078589
2,2,0.07960059,0.11938735,0.9986785,0.67840976,0.16186519,0.6651361,0.50102633,0.69859475,0.14102592,0.23561901
8,8,0.8195887,0.3400058,0.26390123,0.3236051,0.19125699,0.13201073,0.24451374,0.06630187,0.9997552,0.37083623
3,5,0.1567832,0.25618735,0.34302664,0.97410786,0.18408221,0.9871451,0.9816441,0.08739735,0.05366725,0.22700012
