epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
1,2.6164599545300007,17620.62109375,0.2855249999999999,2.1917157757282255,17619.912109375,0.0,2.1907679891586302,17619.912109375,0.0,0.172734375,0.17814,0.1749,0.0,7.727512,11.545626,0.0,2022-10-31 19:15:31.812615,0.0
2,2.321012046188116,17530.529296875,0.296673,1.979040358543396,17529.822265625,0.0,1.971112014055252,17529.822265625,0.0,0.283671875,0.28502,0.2932,0.0,7.560743,11.854724,0.0,2022-10-31 19:15:51.228376,0.0
3,2.1829125890508294,17440.9453125,0.32421099999999986,1.9908845207691193,17440.234375,0.0,1.9759473156929017,17440.234375,0.0,0.260390625,0.26154,0.268,0.0,7.563921,11.52631,0.0,2022-10-31 19:16:10.318876,0.0
4,2.0768165839836,17351.83203125,0.28972500000000007,1.858535885810852,17351.138671875,0.0,1.8527571952342987,17351.138671875,0.0,0.33359375,0.33382,0.3354,0.0,7.539125,11.530663,0.0,2022-10-31 19:16:29.388932,0.0
5,1.9894924880936742,17263.197265625,0.28359600000000007,1.831713168144226,17262.5078125,0.0,1.83014089345932,17262.5078125,0.0,0.354921875,0.34932,0.3476,0.0,7.565717,11.563802,0.0,2022-10-31 19:16:48.518719,0.0
6,1.9045232301577926,17175.03125,0.29634699999999986,1.7130779457092284,17174.34375,0.0,1.710959404706955,17174.34375,0.0,0.37609375,0.3738,0.3697,0.0,7.607757,11.595654,0.0,2022-10-31 19:17:07.722395,0.0
7,1.8486203448846936,17087.3203125,0.29890000000000005,1.720577559709549,17086.638671875,0.0,1.7194367802143098,17086.638671875,0.0,0.387421875,0.38252,0.3795,0.0,7.395751,11.622911,0.0,2022-10-31 19:17:26.741332,0.0
8,1.8040373036637902,17000.060546875,0.28834,1.6713649754524231,16999.37890625,0.0,1.6732027018070221,16999.37890625,0.0,0.38875,0.38976,0.3911,0.0,7.659535,11.543974,0.0,2022-10-31 19:17:45.945104,0.0
9,1.7634182265028358,16913.251953125,0.30353200000000014,1.5834712018966675,16912.57421875,0.0,1.5831970024108886,16912.57421875,0.0,0.420703125,0.42212,0.4215,0.0,7.752607,11.589108,0.0,2022-10-31 19:18:05.287087,0.0
10,1.7124170800670981,16826.8984375,0.309003,1.5981812748908997,16826.23046875,0.0,1.6034088504314423,16826.23046875,0.0,0.42328125,0.42364,0.4203,0.0,7.710862,11.492726,0.0,2022-10-31 19:18:24.490965,0.0
11,1.708022533915937,16740.984375,0.288629,1.6628674976825715,16740.30859375,0.0,1.6659811294078828,16740.30859375,0.0,0.416875,0.41344,0.4122,0.0,7.651479,11.501676,0.0,2022-10-31 19:18:43.644388,0.0
12,1.6694684410467744,16655.50390625,0.30165800000000004,1.5043027939796447,16654.849609375,0.0,1.5166431367397308,16654.849609375,0.0,0.46515625,0.45914,0.4526,0.0,7.645378,11.498074,0.0,2022-10-31 19:19:02.788142,0.0
13,1.6137892976403236,16570.482421875,0.2949190000000001,1.4897087018489839,16569.826171875,0.0,1.5036217546463013,16569.826171875,0.0,0.453671875,0.4618,0.4577,0.0,7.634884,11.490363,0.0,2022-10-31 19:19:21.913682,0.0
14,1.6060951026156545,16485.890625,0.3038470000000001,1.4304451940059661,16485.23046875,0.0,1.4401603615283967,16485.23046875,0.0,0.481875,0.48158,0.4731,0.0,7.707564,11.498949,0.0,2022-10-31 19:19:41.120481,0.0
15,1.5678446236997843,16401.728515625,0.3115709999999999,1.4172251484394074,16401.068359375,0.0,1.439735906124115,16401.068359375,0.0,0.492421875,0.48782,0.4752,0.0,7.45914,11.513249,0.0,2022-10-31 19:20:00.093155,0.0
16,1.563269279897213,16317.998046875,0.30347700000000005,1.4441890659332275,16317.3427734375,0.0,1.4639201378822326,16317.3427734375,0.0,0.475703125,0.48174,0.4747,0.0,7.497971,11.506676,0.0,2022-10-31 19:20:19.098080,0.0
17,1.5484389383345842,16234.6923828125,0.303164,1.3768537065982818,16234.048828125,0.0,1.396512142419815,16234.048828125,0.0,0.506953125,0.50596,0.4964,0.0,7.387586,11.595021,0.0,2022-10-31 19:20:38.080966,0.0
18,1.515760007314384,16151.8154296875,0.2987660000000002,1.3661656289100648,16151.16796875,0.0,1.3895586144924164,16151.16796875,0.0,0.514453125,0.51102,0.4998,0.0,7.700432,11.48945,0.0,2022-10-31 19:20:57.271144,0.0
19,1.4964584112167358,16069.3662109375,0.30587100000000006,1.3411740646362305,16068.7314453125,0.0,1.366099828481674,16068.7314453125,0.0,0.51765625,0.5195,0.5098,0.0,7.561258,11.519594,0.0,2022-10-31 19:21:16.352275,0.0
20,1.4835093012079597,15987.3369140625,0.31852399999999986,1.3882183864116668,15986.7041015625,0.0,1.4180672335624696,15986.7041015625,0.0,0.505078125,0.50464,0.4974,0.0,7.590004,11.578272,0.0,2022-10-31 19:21:35.520842,0.0
21,1.464931931346655,15905.734375,0.3012329999999999,1.4382265439033508,15905.099609375,0.0,1.4598897838592528,15905.099609375,0.0,0.494140625,0.4958,0.4846,0.0,7.619997,11.531347,0.0,2022-10-31 19:21:54.672518,0.0
22,1.4481157399713993,15824.548828125,0.29777300000000007,1.3117678488492965,15823.9091796875,0.0,1.3412512600421906,15823.9091796875,0.0,0.531796875,0.52766,0.5222,0.0,7.667502,11.582334,0.0,2022-10-31 19:22:13.922641,0.0
23,1.439693153835833,15743.7646484375,0.29921700000000007,1.2750925674438476,15743.138671875,0.0,1.31556977391243,15743.138671875,0.0,0.55265625,0.54168,0.528,0.0,7.744052,11.559764,0.0,2022-10-31 19:22:33.226740,0.0
24,1.4292363785207272,15663.4052734375,0.2999249999999999,1.3229582039117813,15662.78125,0.0,1.3617429256439209,15662.78125,0.0,0.52984375,0.53104,0.5173,0.0,7.640534,11.580875,0.0,2022-10-31 19:22:52.448435,0.0
25,1.3874779464676976,15583.462890625,0.29373900000000003,1.3087346999645233,15582.841796875,0.0,1.351921478509903,15582.841796875,0.0,0.541484375,0.5382,0.5223,0.0,7.708076,11.661175,0.0,2022-10-31 19:23:11.817972,0.0
26,1.3888196349143982,15503.921875,0.27959200000000006,1.2356588298082352,15503.3017578125,0.0,1.2776145434379578,15503.3017578125,0.0,0.55921875,0.55676,0.5449,0.0,7.454545,11.57925,0.0,2022-10-31 19:23:30.852045,0.0
27,1.375811799429357,15424.7890625,0.29411,1.2381052905321122,15424.173828125,0.0,1.2807420146465303,15424.173828125,0.0,0.561953125,0.55962,0.5472,0.0,7.624106,11.578971,0.0,2022-10-31 19:23:50.055415,0.0
28,1.3532689325511456,15346.068359375,0.295993,1.263873819231987,15345.4541015625,0.0,1.305103486776352,15345.4541015625,0.0,0.54609375,0.55362,0.5387,0.0,7.656768,11.578329,0.0,2022-10-31 19:24:09.290784,0.0
29,1.349638489075005,15267.7470703125,0.29197699999999993,1.1824868658781051,15267.13671875,0.0,1.2347285890579223,15267.13671875,0.0,0.577109375,0.57804,0.5597,0.0,7.650751,11.579911,0.0,2022-10-31 19:24:28.521726,0.0
30,1.3288375614210963,15189.830078125,0.30126200000000003,1.2111336141824722,15189.2236328125,0.0,1.2583448612689971,15189.2236328125,0.0,0.565234375,0.57114,0.5573,0.0,7.666586,11.576612,0.0,2022-10-31 19:24:47.765235,0.0
31,1.3234219485893846,15112.3095703125,0.294446,1.159713505268097,15111.7041015625,0.0,1.2113153213262557,15111.7041015625,0.0,0.59484375,0.58668,0.5697,0.0,7.739133,11.582624,0.0,2022-10-31 19:25:07.087271,0.0
32,1.300249914638698,15035.1904296875,0.306373,1.1867095509767531,15034.5888671875,0.0,1.253509995341301,15034.5888671875,0.0,0.588359375,0.58102,0.5602,0.0,7.628292,11.596952,0.0,2022-10-31 19:25:26.312798,0.0
33,1.2773594185709953,14958.4521484375,0.30186399999999985,1.1225646843910217,14957.857421875,0.0,1.1864072608947753,14957.857421875,0.0,0.60109375,0.60096,0.5823,0.0,7.762623,11.595107,0.0,2022-10-31 19:25:45.670810,0.0
34,1.274228754453361,14882.1259765625,0.30705699999999997,1.1638229751586915,14881.53125,0.0,1.2357491391897202,14881.53125,0.0,0.580234375,0.5871,0.5683,0.0,7.755257,11.536347,0.0,2022-10-31 19:26:04.962695,0.0
35,1.2693650275468826,14806.1806640625,0.3105270000000001,1.144916829943657,14805.5859375,0.0,1.211992222070694,14805.5859375,0.0,0.59625,0.59418,0.5724,0.0,7.698862,11.528552,0.0,2022-10-31 19:26:24.190377,0.0
36,1.2456136653199792,14730.6279296875,0.6964820000000003,1.1364697023630141,14730.03515625,0.0,1.2126369273662567,14730.03515625,0.0,0.605390625,0.60236,0.5818,0.0,5.957734,11.542947,0.0,2022-10-31 19:26:41.691316,0.0
